name,type,rating,count,address,comment,lat,lon,geometry
Chiêu Cafe Sách,Quán cà phê,4.0,1000.0,"377 Hoàng Sa, Quận 1, Thành phố Hồ Chí Minh","ngon, không gian yên tĩnh...nhiều sách hay nên đọc🙂👍",10.7933999,106.6866439,POINT (106.6866439 10.7933999)
Đẹp Café,Quán cà phê,4.1,145.0,"Bưu điện, Trung Tâm, 3 Đ. Nguyễn Văn Bình, Quận 1, Thành phố Hồ Chí Minh","Nhân viên cũng nhiệt tình, thân thiện, mình sẽ ghé lại!",10.780542865159873,106.69965803373996,POINT (106.69965803373996 10.780542865159873)
Katinat Saigon Cafe,Quán cà phê,3.5,621.0,"36 Nguyễn Thị Nghĩa, Quận 1, Thành phố Hồ Chí Minh","ngon, view đẹp, nhiều gái xinh",10.770233,106.69404,POINT (106.69404 10.770233)
Memento Saigon,Quán cà phê,4.9,189.0,"14 Tôn Thất Đạm, Quận 1, Thành phố Hồ Chí Minh","Toàn bộ không gian yên tĩnh, có khách chụp ảnh nhưng không gây ồn ào.",10.76961695,106.7041805211262,POINT (106.7041805211262 10.76961695)
Dida cafe,Quán cà phê,4.8,54.0,"25BIS Nguyễn Bỉnh Khiêm, Quận 1, Thành phố Hồ Chí Minh","Menu đa dạng, phục vụ nhiệt tình 👌🏻
Mình thích nhất món đá xay caramel",10.7875609,106.7044026,POINT (106.7044026 10.7875609)
SOKO Cake Bake & Brunch - Hồ Tùng Mậu,Bữa nửa buổi,4.8,5600.0,"24 Hồ Tùng Mậu, Quận 1, Thành phố Hồ Chí Minh","View đẹp, menu đa dạng, đồ ăn nước uống ngon",10.7701453,106.7047955,POINT (106.7047955 10.7701453)
Nostalgia Tea & Coffee | COFFEE VIEW ĐẸP QUẬN 1 | TRÀ SỮA QUẬN 1,Quán cà phê,5.0,7.0,"83 Thạch Thị Thanh, Quận 1, Thành phố Hồ Chí Minh",Quán sang trọng đồ ăn ngon,10.79042,106.692459,POINT (106.692459 10.79042)
82 Cafe & Food,Quán cà phê,4.0,305.0,"82 Lê Thị Hồng Gấm, Quận 1, Thành phố Hồ Chí Minh",nhân viên thân thiện đồ ăn ngon view đẹp,10.768902,106.697578,POINT (106.697578 10.768902)
Katinat Saigon Kafe,Quán cà phê,3.9,2000.0,"91 Đồng Khởi, Quận 1, Thành phố Hồ Chí Minh","quán sạch, view đẹp, nước uống ngon, nhân viện nhiệt tình.",10.7756596,106.7035181,POINT (106.7035181 10.7756596)
GUTA CAFE,Quán cà phê,4.3,57.0,"19 Mạc Đĩnh Chi, Quận 1, Thành phố Hồ Chí Minh","Quán thoáng mát,  uống cũng tạm được, gửi xe phía trước quán.",10.7849442,106.6992837,POINT (106.6992837 10.7849442)
eleven: eleven,Quán cà phê,4.1,129.0,"46 Lê Lợi, Quận 1, Thành phố Hồ Chí Minh",Menu giá cao nhưng chấp nhận được vì là quá tại q1.,10.7740337,106.7005077,POINT (106.7005077 10.7740337)
Thức Coffee - OPEN 24/7,Quán cà phê,4.1,1500.0,"40D Lý Tự Trọng, Quận 1, Thành phố Hồ Chí Minh","Nhân viên thân thiện, chất lượng thức uống tốt, không gian thoải mái",10.7771962,106.7001655,POINT (106.7001655 10.7771962)
Highlands Coffee Lê Duẩn,Quán cà phê,4.0,852.0,"2B Lê Duẩn, Quận 1, Thành phố Hồ Chí Minh","View đẹp, mát, nước uống ngon",10.7850269,106.7026662,POINT (106.7026662 10.7850269)
Cafe Tí Nị,Quán cà phê,3.8,183.0,"5A Nguyễn Đình Chiểu, Quận 1, Thành phố Hồ Chí Minh","Có thêm bạn mèo hoang mặt khá hài kk
Quán nhà 2 chú nhiệt tình dể thương.",10.7900889,106.7011275,POINT (106.7011275 10.7900889)
Miyama – Nhà hàng & Cà phê Tokyo Hiện đại,Nhà hàng món tây kiểu Nhật,4.7,1600.0,"Saigon Center, 65 Lê Lợi, Quận 1, Thành phố Hồ Chí Minh",Quán có view cửa sổ đẹp cho khách .,10.7734944,106.7009017111145,POINT (106.7009017111145 10.7734944)
Passio Coffee to go (CN 53 Nguyễn Du).,Quán cà phê,4.0,425.0,"53 Nguyễn Du, Quận 1, Thành phố Hồ Chí Minh",nước ngon mà quán tiết kiệm điện hay sao mà trưa không bật máy lạnh🥲,10.7796921,106.7007494,POINT (106.7007494 10.7796921)
Touch Saigon Cafe,Quán cà phê,4.2,206.0,"382 Nguyễn Thị Minh Khai, Quận 1, Thành phố Hồ Chí Minh","Ngoài  sữa, quán cũng có nhiều món nước khác được trình bày đẹp mắt.",10.78728032048226,106.70219283045547,POINT (106.70219283045547 10.78728032048226)
RuNam d'Or,Quán cà phê,4.4,2000.0,"3 Công trường Công xã Paris, Quận 1, Thành phố Hồ Chí Minh","View sang trọng, nhân viên chu đáo, xứng đáng với giá tiền.",10.7794437,106.6993713562529,POINT (106.6993713562529 10.7794437)
L'Usine,Nhà hàng,4.6,2800.0,"19 Lê Thánh Tôn, Quận 1, Thành phố Hồ Chí Minh","Menu nhiều món đa dạng, vừa vị, decor đẹp mắt.",10.777234,106.701798,POINT (106.701798 10.777234)
Cà Phê Bệt,Quán cà phê,4.2,43.0,"1 Công trường Công xã Paris, Quận 1, Thành phố Hồ Chí Minh","20.000vnd/1 ly, có nhiều loại đồ uống lắm.",10.778933,106.699002,POINT (106.699002 10.778933)
The Vintage Emporium Da Kao,Quán cà phê,4.4,1300.0,"95 Nguyễn Văn Thủ, Quận 1, Thành phố Hồ Chí Minh","Không gian quán đẹp, yên tĩnh, nước uống ngon.",10.7901969,106.6992996,POINT (106.6992996 10.7901969)
Cà Phê Muối Chú Long,Quán cà phê,3.4,258.0,"68 Nguyễn Huệ, Quận 1, Thành phố Hồ Chí Minh","Ra phố đi bộ là ghé mua ly  Chú Long, Sài Gòn mà giá 20k ngon, rẻ !",10.7747783,106.7033841,POINT (106.7033841 10.7747783)
Katinat Saigon Kafe - Nguyen Du,Quán cà phê,4.0,303.0,"59b Nguyễn Du, Quận 1, Thành phố Hồ Chí Minh","nước uống ngon, quán decor đẹp, nhân viên dễ thương lắm ạ",10.784683200000002,106.7036423,POINT (106.7036423 10.784683200000002)
Highlands Coffee,Quán cà phê,4.3,718.0,"114 Nam Kỳ Khởi Nghĩa, Quận 1, Thành phố Hồ Chí Minh","- Ngồi bên ngoài cạnh bảo tàng  bonsai , hồ cá koi rất đẹp .",10.778886283621478,106.69574031759042,POINT (106.69574031759042 10.778886283621478)
KATINAT Hàm Nghi,Quán cà phê,4.0,617.0,"120 Hàm Nghi, Quận 1, Thành phố Hồ Chí Minh",Bãi để xe cũng khá nhỏ dễ hết chỗ nên qua Bitexco để hoặc chỗ gần đó.,10.7711248,106.7013961,POINT (106.7013961 10.7711248)
Quảng trường phố đi bộ Nguyễn Huệ,Điểm thu hút khách du lịch,4.4,3200.0,"Nguyễn Huệ, Quận 1, Thành phố Hồ Chí Minh","Vui nhộn nhịp nhiều  đẹp , người cũng xinh lắm à nha!",10.777353,106.698089,POINT (106.698089 10.777353)
